AcquiredDate,CreatedYear,Creator,Description,imageUrl_s,MainTitle,url,Owner,Size,Type,sk1,sk2,sk3
,,團長：鄧漢錦 合唱指揮：杜黑、吳榮桂、蔡濚洲、吳道榮 臺灣省交響樂團附設合唱團 國立中興大學合唱團 私立中山醫學院合唱團 私立逢甲大學合唱團,,,合唱之夜─樂,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwMjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,指揮：宋威德 小號獨奏：陳長伯,,,熱情擁抱春天的樂章─台中節慶交響管樂團演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwMjAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,雙簧管：劉榮義 豎笛：陳威稜 低音管：徐家駒 法國號：莊思遠 小提琴：蘇顯達、陳幼媛 中提琴：陳永清 大提琴：曾素芝 低音提琴：饒大鷗 鋼琴：葉綠娜 擊樂：朱宗慶,,,台北獨奏家室內樂團音樂會─春的宴饗,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwMzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 客席指揮：張大勝 鋼琴獨奏：張美惠、董學瑜、林淑貞,,,臺灣省交響樂團定期演奏會─樂響,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwMzAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,,,,法國2E2M現代樂團音樂會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwMzAwMw==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,演出人：陳倬民 演出：臺灣省交響樂團 策劃：鄧漢錦 指揮：劉子修 導演：侯啟平 詞：黃瑩 曲：屈文中 演唱者：張瑞銘/李靜美/張清郎/蘇秀華、陳允宜/鄭仁榮、白玉光/姚和順、簡英郎/陸蘋、張美蘭 合唱：臺灣省交響樂團附設合唱團,,,臺灣省七十九年春季藝術活動─民謠歌劇 天山雲雀,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwMzAwNA==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,團長：鄧漢錦 執行演出：陳茂萱 指導教授：張大勝；廖年賦 指揮：徐怡、蘇郁惠、林世悠、戴瓊瑤,,,交響樂演奏會─師大音樂研究所指揮組79級畢業演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 臺灣省交響樂團附設合唱團 台中市合唱團 私立逢甲大學合唱團 客席指揮：曾道雄 獨唱：Jan Caals、陳榮貴、黃瑞芬、陸蘋 合唱指導：杜黑、吳道榮,,,貝多芬第九交響曲與歌劇選粹,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNTAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 團長：鄧漢錦 指揮：劉子修 男高音：席凱雷(Gianfranco Cecchele) 女高音：任蓉(旅義聲樂家) 男中音：陳榮貴(師大音樂系教授),,,歌劇選粹之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNjAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團附設合唱團 團長：鄧漢錦 合唱指導：杜黑 指揮：蔡濚州、黃燕民 鋼琴伴奏：張明錄,,,合唱之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNjAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,,,,光環舞集─春季公演,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNzAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 團長：鄧漢錦 指揮：劉子修 小提琴獨奏：余道明 鋼琴獨奏：游如慧、陳宜蓁,,,樂壇新秀─協奏曲之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNzAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,小號：柯普(Rodolf Korp)      甸瑪(Helmut Demmer) 法國號：王玉金 長號：韓哲(Erik Hainzl) 低音號：華格涅斯(Anton Wagnes),,,維也納銅管五重奏,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNzAwMw==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,,,,文京青少年吹奏樂團,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwNzAwNA==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,師資陣容： 1.雙簧管(Oboe)：   皮爾‧懷特教授(Prof.Pierre W. Feit)   劉廷宏教授   劉榮義教授 2.豎笛(Clarinet)   漢斯‧狄特黎希‧克勞斯教授(Prof.Hans Dietrich Klaus)   陳威稜教授 3.低音管(Bassoon)：   俊德‧費茲麥亞教授(Prof.Gunter Pfitzenmaier)   徐家駒教授 4.法國號：   亞伯‧寇斯特教授(Prof.Ab Koster)   莊思遠教授 5.鋼琴(P,,,一九九O年國際音樂夏令營─第一屆日月潭音樂節,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwODAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,雙簧管：皮爾‧懷特(Pierre W.Feit) 豎笛：漢斯‧狄特黎希‧克勞斯(Hans Dietrich Klaus) 鋼琴：奈琳娜‧芭嫘特(Nerine Barrett) 低音管：俊德‧費茲麥亞(Gunter Pftzenmaier) 法國號：亞伯‧寇斯特(Ab Koster),,,室內樂之夜,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwODAwMg==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省交響樂團 團長：鄧漢錦 客席指揮：張大勝 雙簧管：皮爾‧懷特(Pierre W.Feit) 豎笛：漢斯‧狄特黎希‧克勞斯(Hans Dietrich Klaus) 低音管：俊德‧費茲麥亞(Gunter Pftzenmaier) 法國號：亞伯‧寇斯特(Ab Koster),,,定期音樂演奏會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwODAwMw==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
,,臺灣省教育廳交響樂團 團長：鄧漢錦 客席指揮：徐頌仁 演唱者：馬筱華、湯慧茹、劉玲淑、陳思照、許德崇、林惠珍、何康婷、陸一嬋、林文俊、白玉璽 鋼琴伴奏：劉本莊、林芳瑾,,,阿瑪迪斯的讚歌─莫札特逝世兩百周年紀念演唱會,https://collections.culture.tw/Object.aspx?SYSUID=21&RNO=QzE5OTAwOTAwMQ==,國立臺灣交響樂團,,交響樂類\交響樂、室內樂、管樂,交響樂類,交響樂、室內樂、管樂,交響
